run,model,train_size,fit,predict,score
1,SVM,0.7,167.60067224502563,93.86504125595093,0.7296866702071163
1,MNB,0.7,0.18549633026123047,0.034964799880981445,0.7100371747211895
1,DT,0.7,19.0361065864563,0.014616966247558594,0.508364312267658
1,RF,0.7,33.4888060092926,0.9046127796173096,0.7166755177907594
1,KNN,0.7,0.010631799697875977,7.042551040649414,0.4475570897503983
1,BC,0.7,0.0627443790435791,0.14257121086120605,0.86311736590547
1,LR,0.8,86.24083948135376,0.03271651268005371,0.7717737652681891
1,SVM,0.8,214.0988063812256,104.80519986152649,0.7450876261285183
1,MNB,0.8,0.17835617065429688,0.03262019157409668,0.6887944768985661
1,DT,0.8,21.011666297912598,0.015058517456054688,0.4972118959107807
1,RF,0.8,37.213828325271606,0.9129090309143066,0.7265002655337228
1,KNN,0.8,0.011116266250610352,7.830601215362549,0.46879978757302176
1,BC,0.8,0.06743168830871582,0.14083409309387207,0.8667020711630377
1,LR,0.9,96.21977925300598,0.03705596923828125,0.7837227827934148
1,SVM,0.9,270.69737458229065,118.75248408317566,0.7592936802973977
1,MNB,0.9,0.21607422828674316,0.03565526008605957,0.7128252788104089
1,DT,0.9,27.482997179031372,0.015799522399902344,0.5253584705257568
1,RF,0.9,55.272773027420044,1.0310838222503662,0.7279607010090281
1,KNN,0.9,0.013091802597045898,8.94282579421997,0.4880509824747743
1,BC,0.9,0.07976818084716797,0.15770649909973145,0.8678969729155602
1,LR,1.0,104.60367751121521,0.037178754806518555,0.7886351566648965
1,SVM,1.0,327.83424496650696,130.48483061790466,0.7626128518321826
1,MNB,1.0,0.2342846393585205,0.03750753402709961,0.72623473181094
1,DT,1.0,31.51226496696472,0.015522956848144531,0.5219065321295805
1,RF,1.0,68.71531701087952,1.0402777194976807,0.7316781731279872
1,KNN,1.0,0.014681339263916016,9.740102529525757,0.49747742963356345
1,BC,1.0,0.08640122413635254,0.16135406494140625,0.8726765799256505
2,LR,0.1,10.827900409698486,0.022500991821289062,0.49907063197026025
2,SVM,0.1,3.5542502403259277,12.473097085952759,0.43016463090812534
2,MNB,0.1,0.03573775291442871,0.022253990173339844,0.22450876261285183
2,DT,0.1,1.1404626369476318,0.010907173156738281,0.3916622411046203
2,RF,0.1,1.7726964950561523,0.5707619190216064,0.5520446096654275
2,KNN,0.1,0.0021109580993652344,1.1307640075683594,0.2652681890600106
2,BC,0.1,0.010667800903320312,0.08392000198364258,0.7729686670207117
2,LR,0.2,28.455522298812866,0.027849912643432617,0.6378120021242698
