run,a,b,h,score_validation,score_test
0,0.75,1.5,1.5,0.8741375989322717,0.8082846521508231
0,0.75,1.5,1.75,0.8834182147513552,0.8169144981412639
0,0.75,1.5,2.0,0.8873954708291187,0.8214285714285714
0,0.75,1.75,0.0,0.04949616187521318,0.043813064259160914
0,0.75,1.75,0.25,0.07221124982564633,0.06027615507169411
0,0.75,1.75,0.5,0.14769269058662143,0.12121614445034519
0,0.75,1.75,0.75,0.3341879299991053,0.2709771640998407
0,0.75,1.75,1.0,0.5605456322112576,0.4746415294742432
0,0.75,1.75,1.25,0.7204350695246211,0.6332979288369623
0,0.75,1.75,1.5,0.8044009794280262,0.7347318109399894
0,0.75,1.75,1.75,0.8444402378164397,0.7789431757833245
0,0.75,1.75,2.0,0.858051661819928,0.7936802973977695
0,0.75,2.0,0.0,0.043839445381493626,0.038767923526287836
0,0.75,2.0,0.25,0.04640253210353931,0.04275092936802974
0,0.75,2.0,0.5,0.06169333838128693,0.055762081784386616
0,0.75,2.0,0.75,0.1233870674710573,0.10302708443972385
0,0.75,2.0,1.0,0.2601200334602745,0.21548061603823684
0,0.75,2.0,1.25,0.45182970736325306,0.3908656399362719
0,0.75,2.0,1.5,0.6297510444614532,0.5473977695167286
0,0.75,2.0,1.75,0.734576411444164,0.6562665958576739
0,0.75,2.0,2.0,0.7945017157963049,0.724907063197026
0,1.0,0.0,0.0,0.908697209911649,0.8332448220924057
0,1.0,0.0,0.25,0.9075480971910794,0.8307222517259693
0,1.0,0.0,0.5,0.9062224623777034,0.8268720127456187
0,1.0,0.0,0.75,0.904719875692189,0.8235528412108338
0,1.0,0.0,1.0,0.9019799543105499,0.8199681359532661
0,1.0,0.0,1.25,0.9010076371787253,0.8151885289431758
0,1.0,0.0,1.5,0.8996818070111076,0.811603823685608
0,1.0,0.0,1.75,0.8980025028785448,0.807886351566649
0,1.0,0.0,2.0,0.8953509206850058,0.8050982474774296
0,1.0,0.25,0.0,0.9074594063653445,0.8412108337758896
0,1.0,0.25,0.25,0.9178889004799073,0.8519649495485927
0,1.0,0.25,0.5,0.9185077045759387,0.8526287838555496
0,1.0,0.25,0.75,0.9178889395507556,0.8499734466277217
0,1.0,0.25,1.0,0.916828400443376,0.8477164099840679
0,1.0,0.25,1.25,0.9157676659817546,0.8466542750929368
0,1.0,0.25,1.5,0.9142652355796337,0.8430695698353691
0,1.0,0.25,1.75,0.9138233833557404,0.8414763674986724
0,1.0,0.25,2.0,0.9119671664218878,0.8370950610727562
0,1.0,0.5,0.0,0.859553975009504,0.7861125862984599
0,1.0,0.5,0.25,0.8915501085583522,0.8281996813595327
0,1.0,0.5,0.5,0.9075477455534445,0.8459904407859798
0,1.0,0.5,0.75,0.9161212571592445,0.8519649495485927
0,1.0,0.5,1.0,0.9187726830693903,0.8552841210833776
0,1.0,0.5,1.25,0.9183307917746486,0.8530270844397239
0,1.0,0.5,1.5,0.9183309480580422,0.8528943175783325
0,1.0,0.5,1.75,0.9176238047739107,0.8506372809346787
0,1.0,0.5,2.0,0.9170049616070308,0.8489113117365905
0,1.0,0.75,0.0,0.6924172078955932,0.602761550716941
0,1.0,0.75,0.25,0.80811368679167,0.7338024429102497
0,1.0,0.75,0.5,0.8578748662311829,0.7950079660116834
0,1.0,0.75,0.75,0.8856278275084559,0.824614976101965
0,1.0,0.75,1.0,0.9004768987748554,0.8372278279341476
0,1.0,0.75,1.25,0.9075475501992027,0.8458576739245884
0,1.0,0.75,1.5,0.910287393439145,0.8474508762612852
0,1.0,0.75,1.75,0.9117901364080527,0.8474508762612852
0,1.0,0.75,2.0,0.9111712150994764,0.846388741370154
0,1.0,1.0,0.0,0.3332169412761242,0.28412108337758896
0,1.0,1.0,0.25,0.5590426157464115,0.48579394583112057
0,1.0,1.0,0.5,0.7248544903930644,0.6439192777482741
0,1.0,1.0,0.75,0.8097927174282942,0.7369888475836431
0,1.0,1.0,1.0,0.8487708115757547,0.7855815188528943
0,1.0,1.0,1.25,0.8729006158737823,0.8109399893786511
0,1.0,1.0,1.5,0.8865118835938773,0.8234200743494424
0,1.0,1.0,1.75,0.8923451612512517,0.830323951141795
0,1.0,1.0,2.0,0.8934943130426696,0.8344397238449283
0,1.0,1.25,0.0,0.12206237035804135,0.1048858204992034
0,1.0,1.25,0.25,0.24571414282661178,0.20910780669144982
0,1.0,1.25,0.5,0.42469644881152335,0.3671003717472119
0,1.0,1.25,0.75,0.5992590213612049,0.531465746149761
0,1.0,1.25,1.0,0.7251195470282127,0.6512214551248009
0,1.0,1.25,1.25,0.7963579718010059,0.7302177376526819
0,1.0,1.25,1.5,0.8334803960064905,0.7716409984067977
0,1.0,1.25,1.75,0.8516877239003804,0.7912904938927243
0,1.0,1.25,2.0,0.8645920827614338,0.8024429102496017
0,1.0,1.5,0.0,0.06885268063136928,0.06027615507169411
0,1.0,1.5,0.25,0.09103800694914108,0.07859798194370685
0,1.0,1.5,0.5,0.1702322332154566,0.14418481147105683
0,1.0,1.5,0.75,0.30838042347329686,0.2656664896441848
0,1.0,1.5,1.0,0.4641161998286353,0.40626659585767394
0,1.0,1.5,1.25,0.6128701718687548,0.5456718003186405
0,1.0,1.5,1.5,0.7184902789775784,0.6509559214020181
0,1.0,1.5,1.75,0.7820394826550829,0.7203929899097186
0,1.0,1.5,2.0,0.8153612900881555,0.7561072756240043
0,1.0,1.75,0.0,0.053384805268938317,0.04394583112055231
0,1.0,1.75,0.25,0.06080928229586556,0.05018587360594796
0,1.0,1.75,0.5,0.08051986107969164,0.06824216675517791
0,1.0,1.75,0.75,0.13178405698405088,0.11032926181625066
0,1.0,1.75,1.0,0.22874375892036306,0.19622942113648434
0,1.0,1.75,1.25,0.3554010954684458,0.3116038236856081
0,1.0,1.75,1.5,0.4842681619861744,0.43348380244291024
0,1.0,1.75,1.75,0.6141068032896092,0.5466011683483802
0,1.0,1.75,2.0,0.7043482337827653,0.6412639405204461
0,1.0,2.0,0.0,0.04560712777300462,0.040626659585767395
0,1.0,2.0,0.25,0.049495927450123135,0.04195432819968136
0,1.0,2.0,0.5,0.05444546158886293,0.04673393520977164
0,1.0,2.0,0.75,0.0692058420295274,0.057488050982474774
0,1.0,2.0,1.0,0.10296961889903819,0.09067976633032396
0,1.0,2.0,1.25,0.17359119311821702,0.15175252257036645
0,1.0,2.0,1.5,0.2668379141949471,0.22822623473181095
0,1.0,2.0,1.75,0.3786463748308721,0.33191715347849177
0,1.0,2.0,2.0,0.4890403926151408,0.4341476367498672
0,1.25,0.0,0.0,0.8998586416707006,0.8194370685077005
0,1.25,0.0,0.25,0.8988864026805727,0.8153212958045671
0,1.25,0.0,0.5,0.8966766727109269,0.8117365905469994
0,1.25,0.0,0.75,0.8948206120604676,0.8081518852894317
0,1.25,0.0,1.0,0.8937600338822396,0.8043016463090813
0,1.25,0.0,1.25,0.8919922733490321,0.8004514073287308
0,1.25,0.0,1.5,0.8908431996993107,0.798194370685077
0,1.25,0.0,1.75,0.8888103434601066,0.796202867764206
0,1.25,0.0,2.0,0.887307756774592,0.7934147636749868
0,1.25,0.25,0.0,0.8896058650031863,0.8240839086563994
0,1.25,0.25,0.25,0.9010961326502187,0.8364312267657993
0,1.25,0.25,0.5,0.907901649297721,0.8406797663303239
0,1.25,0.25,0.75,0.9100226884416319,0.8398831651619756
0,1.25,0.25,1.0,0.9100225712290868,0.8382899628252788
0,1.25,0.25,1.25,0.9087852756038106,0.8360329261816251
0,1.25,0.25,1.5,0.9073713016023346,0.8331120552310144
0,1.25,0.25,1.75,0.9068411492611897,0.8305894848645778
0,1.25,0.25,2.0,0.9053385625756754,0.8283324482209241
0,1.25,0.5,0.0,0.8010433088632609,0.7241104620286777
0,1.25,0.5,0.25,0.8459426682185607,0.7782793414763675
0,1.25,0.5,0.5,0.8767895718342944,0.8118693574083908
0,1.25,0.5,0.75,0.8923459035973702,0.8266064790228359
0,1.25,0.5,1.0,0.9029520760881329,0.8362984599044079
0,1.25,0.5,1.25,0.9085203752520558,0.8404142326075411
0,1.25,0.5,1.5,0.91117184023305,0.8409453000531067
0,1.25,0.5,1.75,0.9107297926549149,0.8420074349442379
0,1.25,0.5,2.0,0.9100226102999353,0.8404142326075411
0,1.25,0.75,0.0,0.5156453742264461,0.4512745618693574
0,1.25,0.75,0.25,0.6827828836864752,0.6034253850238981
0,1.25,0.75,0.5,0.7737312230386727,0.7033988316516198
0,1.25,0.75,0.75,0.8183657992547626,0.758364312267658
0,1.25,0.75,1.0,0.8469149072086888,0.7899628252788105
0,1.25,0.75,1.25,0.8703376072934335,0.8104089219330854
