epoch,score,loss,model,run
2.0,0.17,2.189391851425171,BC+Born,0
3.0,0.207,2.1589767932891846,BC+Born,0
4.0,0.2055,2.1388463973999023,BC+Born,0
5.0,0.2343,2.117792844772339,BC+Born,0
6.0,0.2555,2.104104995727539,BC+Born,0
7.0,0.2605,2.0934906005859375,BC+Born,0
8.0,0.2886,2.081284999847412,BC+Born,0
9.0,0.2864,2.0706400871276855,BC+Born,0
10.0,0.2889,2.061859130859375,BC+Born,0
11.0,0.3064,2.0563580989837646,BC+Born,0
12.0,0.3069,2.0460574626922607,BC+Born,0
13.0,0.3073,2.041210651397705,BC+Born,0
14.0,0.1021,2.2462832927703857,BC+Born,0
15.0,0.1937,2.139439582824707,BC+Born,0
16.0,0.2041,2.133476495742798,BC+Born,0
17.0,0.2159,2.122528076171875,BC+Born,0
18.0,0.2636,2.0993402004241943,BC+Born,0
19.0,0.2813,2.086369037628174,BC+Born,0
20.0,0.2998,2.072307825088501,BC+Born,0
21.0,0.3065,2.066882610321045,BC+Born,0
22.0,0.2842,2.058454990386963,BC+Born,0
23.0,0.2899,2.0535950660705566,BC+Born,0
24.0,0.3107,2.028085708618164,BC+Born,0
25.0,0.2904,2.0255420207977295,BC+Born,0
26.0,0.3066,2.0127274990081787,BC+Born,0
27.0,0.1837,2.104567289352417,BC+Born,0
28.0,0.2116,2.1687331199645996,BC+Born,0
29.0,0.2981,2.0192720890045166,BC+Born,0
30.0,0.1889,2.078786611557007,BC+Born,0
31.0,0.2394,2.0263471603393555,BC+Born,0
32.0,0.3293,1.971314787864685,BC+Born,0
33.0,0.3169,1.971806287765503,BC+Born,0
34.0,0.1267,2.4069607257843018,BC+Born,0
35.0,0.0882,2.3081881999969482,BC+Born,0
36.0,0.0934,2.2604002952575684,BC+Born,0
37.0,0.1082,2.2403454780578613,BC+Born,0
38.0,0.1206,2.225703716278076,BC+Born,0
39.0,0.1344,2.214667558670044,BC+Born,0
40.0,0.1515,2.204375982284546,BC+Born,0
41.0,0.1646,2.2355878353118896,BC+Born,0
42.0,0.174,2.18634033203125,BC+Born,0
43.0,0.1692,2.1779379844665527,BC+Born,0
44.0,0.1804,2.1699025630950928,BC+Born,0
45.0,0.1987,2.162569046020508,BC+Born,0
46.0,0.2059,2.1540422439575195,BC+Born,0
47.0,0.2181,2.1452524662017822,BC+Born,0
48.0,0.2288,2.137539863586426,BC+Born,0
49.0,0.2068,2.1472671031951904,BC+Born,0
50.0,0.2451,2.1195998191833496,BC+Born,0
51.0,0.2657,2.1140329837799072,BC+Born,0
52.0,0.2489,2.103119134902954,BC+Born,0
53.0,0.2713,2.093446969985962,BC+Born,0
54.0,0.2619,2.0836989879608154,BC+Born,0
55.0,0.2671,2.0770609378814697,BC+Born,0
56.0,0.2765,2.0619239807128906,BC+Born,0
57.0,0.2582,2.060028314590454,BC+Born,0
58.0,0.2818,2.04709792137146,BC+Born,0
59.0,0.2753,2.0434932708740234,BC+Born,0
60.0,0.2308,2.19500470161438,BC+Born,0
